,installer_id,market,year,own_price,other_prices
378,20030.0,2.0,2016.0,,3.954897165298462
390,20030.0,2.0,2017.0,,3.6495242913564048
402,20030.0,2.0,2018.0,,
407,20131.0,2.0,2013.0,,4.74900872366769
411,20131.0,2.0,2014.0,,5.362644553184509
423,20131.0,2.0,2015.0,,4.048014892472161
435,20131.0,2.0,2016.0,,3.954897165298462
447,20131.0,2.0,2017.0,,3.6495242913564048
454,20348.0,2.0,2013.0,,4.74900872366769
459,20348.0,2.0,2014.0,,5.362644553184509
471,20348.0,2.0,2015.0,,4.048014892472161
483,20348.0,2.0,2016.0,,3.954897165298462
495,20348.0,2.0,2017.0,,3.6495242913564048
507,20348.0,2.0,2018.0,,
512,20374.0,2.0,2013.0,,4.74900872366769
517,20374.0,2.0,2014.0,,5.362644553184509
529,20374.0,2.0,2015.0,,4.048014892472161
541,20374.0,2.0,2016.0,3.527336835861206,3.9752571809859503
553,20374.0,2.0,2017.0,,3.6495242913564048
565,20374.0,2.0,2018.0,,
570,20562.0,2.0,2017.0,,3.6495242913564048
582,20562.0,2.0,2018.0,,
587,20626.0,2.0,2016.0,,3.954897165298462
591,20626.0,2.0,2017.0,,3.6495242913564048
603,20626.0,2.0,2018.0,,
608,20636.0,2.0,2015.0,3.584547519683838,4.075277679106769
620,20636.0,2.0,2016.0,3.74747085571289,3.9647746086120605
632,20636.0,2.0,2017.0,3.2565510272979736,3.6691729545593263
644,20636.0,2.0,2018.0,,
649,20660.0,2.0,2014.0,,5.362644553184509
652,20660.0,2.0,2015.0,,4.048014892472161
664,20660.0,2.0,2016.0,,3.954897165298462
676,20660.0,2.0,2017.0,,3.6495242913564048
682,20663.0,2.0,2014.0,,5.362644553184509
684,20663.0,2.0,2015.0,4.2543301582336435,4.035878700368545
696,20663.0,2.0,2016.0,4.151983737945557,3.945512090410505
708,20663.0,2.0,2017.0,3.9110145568847656,3.6364497780799865
714,20672.0,2.0,2014.0,6.131959438323975,5.1062062581380205
716,20672.0,2.0,2015.0,4.0556068420410165,4.047568307203405
728,20672.0,2.0,2016.0,3.952972888946533,3.9549887975056968
740,20672.0,2.0,2017.0,3.48423171043396,3.6577889204025267
752,20924.0,2.0,2015.0,4.613520622253418,4.014749849543852
762,20924.0,2.0,2016.0,5.052783966064453,3.9026168414524625
770,20982.0,2.0,2017.0,3.839685678482056,3.640016222000122
771,21185.0,2.0,2015.0,3.077582836151123,4.105099131079281
775,21185.0,2.0,2016.0,3.549613237380981,3.974196399961199
784,21267.0,2.0,2016.0,3.526418924331665,3.9753008910587857
789,21357.0,2.0,2016.0,,3.954897165298462
800,21357.0,2.0,2017.0,,3.6495242913564048
812,21357.0,2.0,2018.0,,
817,21394.0,2.0,2016.0,3.6171262264251713,3.9709814957209995
827,21394.0,2.0,2017.0,3.3528993129730225,3.6643555402755736
829,21448.0,2.0,2016.0,3.5382368564605717,3.9747381323859807
838,21448.0,2.0,2017.0,3.4558589458465576,3.659207558631897
850,21448.0,2.0,2018.0,,
855,21577.0,2.0,2016.0,4.56378984451294,3.9259022758120583
857,21577.0,2.0,2017.0,3.748933553695679,3.6445538282394407
869,21577.0,2.0,2018.0,,
874,21593.0,2.0,2017.0,4.8340415954589835,3.590298426151276
878,21676.0,2.0,2016.0,3.53083610534668,3.9750905491056896
882,21676.0,2.0,2017.0,3.4051432609558105,3.6617433428764343
883,21678.0,2.0,2016.0,3.5148401260375977,3.9758522624061223
887,21678.0,2.0,2017.0,2.7706139087677,3.6934698104858397
899,21678.0,2.0,2018.0,,
904,21789.0,2.0,2016.0,3.828677892684937,3.960907606851487
905,21789.0,2.0,2017.0,4.06794023513794,3.628603494167328
907,21813.0,2.0,2016.0,3.8763103485107417,3.958639394669306
908,21813.0,2.0,2017.0,3.793998718261719,3.642300570011139
920,21813.0,2.0,2018.0,,
925,21838.0,2.0,2017.0,3.8445954322814937,3.63977073431015
928,21845.0,2.0,2017.0,1.5817346572875977,3.752913773059845
932,21872.0,2.0,2017.0,,3.6495242913564048
935,22361.0,2.0,2018.0,,
938,22698.0,2.0,2017.0,3.2619497776031494,3.6689030170440673
940,22698.0,2.0,2018.0,,
942,22725.0,2.0,2017.0,4.889783382415772,3.5875113368034364
944,22725.0,2.0,2018.0,,
949,22843.0,2.0,2018.0,,
954,20688.0,3.0,2016.0,3.4235494136810303,
960,20688.0,3.0,2017.0,3.243323802947998,
972,20688.0,3.0,2018.0,,
977,20946.0,3.0,2015.0,,3.762426614761353
984,20946.0,3.0,2016.0,,3.4235494136810303
996,20946.0,3.0,2017.0,,3.243323802947998
1001,6270.0,4.0,2013.0,,5.011600430806478
1002,6270.0,4.0,2014.0,,4.771025913102286
1014,6270.0,4.0,2015.0,,4.0937574013419775
1026,6270.0,4.0,2016.0,,4.0577052006354695
1038,6270.0,4.0,2017.0,,3.81264238887363
1050,6270.0,4.0,2018.0,,
1055,20041.0,4.0,2013.0,,5.011600430806478
1059,20041.0,4.0,2014.0,,4.771025913102286
1071,20041.0,4.0,2015.0,,4.0937574013419775
1078,20349.0,4.0,2014.0,,4.771025913102286
