,index,text_d_self_mean,text_d_self_std,text_d_self_min,text_d_self_p25,text_d_self_p50,text_d_self_p75,text_d_self_max
34,47,0.16452357118779962,0.1266501467103411,0.028929352760314938,0.05719327926635742,0.122744619846344,0.22912392020225525,0.4662773013114929
35,49,0.15014405080250331,0.10905678113480759,0.028929352760314938,0.0775834321975708,0.11052912473678587,0.17510342597961426,0.4662773013114929
36,50,0.061721483866373696,0.013246575181606041,0.048944056034088135,0.05488622188568115,0.06082838773727418,0.06811019778251648,0.07539200782775879
37,51,0.07750060160954793,0.022175479004171134,0.0534900426864624,0.06764531135559082,0.08180058002471924,0.0895058810710907,0.09721118211746216
38,52,0.13770782947540283,0.031641561836358176,0.0931350588798523,0.1161794662475586,0.14265191555023193,0.16142530739307404,0.1727696657180786
39,53,0.09224354028701783,0.030706465730722242,0.05319046974182129,0.06863681972026825,0.0902949869632721,0.1027010977268219,0.15533137321472168
40,54,0.14150278513727624,0.10367280136155918,0.028929352760314938,0.07649457454681396,0.10753065347671507,0.15211224555969238,0.4662773013114929
41,55,0.08942897717157999,0.02856248845591257,0.048944056034088135,0.06955921649932861,0.0853082537651062,0.10941588878631592,0.14666646718978882
42,56,0.2306045889854431,,0.2306045889854431,0.2306045889854431,0.2306045889854431,0.2306045889854431,0.2306045889854431
43,57,0.09067827065785726,0.02864803910373968,0.05319046974182129,0.0677497386932373,0.08825898170471191,0.10144948959350586,0.15533137321472168
44,58,0.1390428670815059,0.09791260162305146,0.028929352760314938,0.07362772524356843,0.108139306306839,0.16030704975128174,0.4662773013114929
45,59,0.12063162194357978,0.035361342372831304,0.04073774814605713,0.10709027945995331,0.12358799576759338,0.13860486447811127,0.1908085346221924
46,61,0.10612041325796218,0.04033149020799287,0.048944056034088135,0.07539200782775879,0.10905903577804564,0.13389861583709714,0.2031129002571106
47,62,0.17710882425308228,0.052315365142105434,0.08208233118057251,0.13104736804962158,0.19333285093307487,0.2138613760471344,0.26364666223526
48,63,0.3373599052429199,,0.3373599052429199,0.3373599052429199,0.3373599052429199,0.3373599052429199,0.3373599052429199
49,64,0.12101571261882782,0.047195089715996494,0.048944056034088135,0.08372484147548676,0.1148873269557953,0.142928808927536,0.2304034829139709
50,65,0.11888984839121501,0.04742191629638773,0.05319046974182129,0.07164111733436584,0.11431947350502014,0.1562402993440628,0.2288199067115784
51,66,0.27694366375605267,0.1125288253270526,0.14711052179336548,0.2422352135181427,0.3373599052429199,0.34186023473739624,0.34636056423187256
52,67,0.12038451717013404,0.04047774562162328,0.046848416328430176,0.08600342273712157,0.1188042163848877,0.1421094536781311,0.21305781602859492
53,68,0.07987888654073079,0.02081410401394502,0.0534900426864624,0.06795373558998108,0.07559406757354736,0.09335853159427643,0.10990816354751587
54,71,0.12279433012008667,,0.12279433012008667,0.12279433012008667,0.12279433012008667,0.12279433012008667,0.12279433012008667
55,73,0.0,,0.0,0.0,0.0,0.0,0.0
56,75,0.1133360548151864,0.046510828375106845,0.048944056034088135,0.07393401861190796,0.1111169159412384,0.13919195532798767,0.2304034829139709
57,76,0.0919895847638448,0.022823329712803327,0.0534900426864624,0.07348424196243286,0.09721118211746216,0.11011067032814026,0.1286875605583191
58,77,0.11573243406083848,0.0447107349562715,0.05319046974182129,0.07794517278671265,0.09977805614471437,0.14833307266235352,0.2288199067115784
59,78,0.09459886153539022,0.029394779862100453,0.04580205678939818,0.07593569159507751,0.08957147598266603,0.11265385150909424,0.144817054271698
60,79,0.11530357599258423,0.026900059233933873,0.08491134643554688,0.10492849349975586,0.12494564056396484,0.1304996907711029,0.13605374097824094
61,80,0.14663368463516235,0.029907460386927244,0.12279433012008667,0.12985464930534363,0.1369149684906006,0.1585533618927002,0.1801917552947998
