,index,text_d_others_mean,text_d_others_std,text_d_others_min,text_d_others_p25,text_d_others_p50,text_d_others_p75,text_d_others_max
7750,9310,0.1392838726607499,0.06931197678554887,0.0,0.0907994508743286,0.1213265061378479,0.16832435131072998,0.55275559425354
7751,9311,0.13616190493364871,0.06702304408897335,0.0,0.08946514129638672,0.11992400884628295,0.1641632914543152,0.55275559425354
7752,9312,0.13653327578409305,0.06715923754730481,0.0,0.08974897861480713,0.12040016055107117,0.1646498590707779,0.55275559425354
7753,9313,0.13538489821669344,0.06691912653552944,0.0,0.08904606103897095,0.11915427446365355,0.1622827649116516,0.55275559425354
7754,9314,0.1367517165348817,0.0669291742491449,0.0,0.09014564752578735,0.12046241760253909,0.16466067731380463,0.55275559425354
7755,9315,0.135104842734986,0.06627838279119008,0.0,0.08900648355484009,0.11935383081436154,0.16272205114364624,0.55275559425354
7756,9316,0.13554404040865042,0.06726529552398687,0.0,0.08873367309570312,0.11883869767189026,0.1633898764848709,0.55275559425354
7757,9317,0.13583793840966057,0.06673080434952172,0.0,0.08991755545139314,0.12042984366416931,0.16321349143981936,0.55275559425354
7758,9318,0.13601025422629864,0.06724703222460823,0.0,0.08916468918323517,0.11957165598869324,0.16410376131534576,0.55275559425354
7759,9319,0.13721301483230006,0.06747261651925363,0.0,0.09009759128093721,0.12091249227523804,0.165758416056633,0.55275559425354
7760,9320,0.13228356411615272,0.06619742107030442,0.0,0.08762289583683015,0.11631903052330017,0.1551523804664612,0.55275559425354
7761,9321,0.1350669223083284,0.06533260045539127,0.0,0.08952975273132324,0.1199432611465454,0.16305691003799438,0.5476659834384918
7762,9322,0.1360666803956222,0.06709403322650764,0.0,0.08929890394210815,0.11982202529907228,0.16408812999725342,0.55275559425354
7763,9323,0.13610742508522944,0.06822023921972273,0.0,0.08841629326343536,0.11941948533058164,0.16453590989112854,0.55275559425354
7764,9324,0.13029964822204648,0.06056443024698942,0.0,0.08720603585243225,0.11593252420425415,0.15637874603271487,0.4194203019142151
7765,9325,0.13306903952141938,0.06615929101278765,0.0,0.08721688389778137,0.11641189455986023,0.15907083451747894,0.55275559425354
7766,9326,0.13418253343498227,0.06601538968718026,0.0,0.08840391039848328,0.11763688921928406,0.1607840359210968,0.55275559425354
7767,9327,0.1339861998390679,0.06660516765913746,0.0,0.08771112561225891,0.11702930927276611,0.16121201217174527,0.55275559425354
7768,9328,0.13313539722724496,0.06591248193181742,0.0,0.08754152059555054,0.11658275127410887,0.15917730331420898,0.55275559425354
7769,9329,0.136031927593337,0.06639490979521488,0.02575874328613281,0.08933079242706299,0.11976397037506104,0.16450071334838867,0.55275559425354
7770,9330,0.13438663921314917,0.06619092585357628,0.0,0.0886542797088623,0.11797577142715455,0.16063648462295532,0.55275559425354
7771,9331,0.13207481835763324,0.06452584464768417,0.0,0.08754152059555054,0.11641371250152588,0.15796500444412231,0.55275559425354
7772,9332,0.13375496739519324,0.06596711525785627,0.0,0.08820146322250366,0.11720949411392212,0.16003781557083133,0.55275559425354
7773,9333,0.13239919496098948,0.06534181478298304,0.0,0.08733439445495605,0.11641371250152588,0.15800055861473083,0.55275559425354
7774,9334,0.13378525246788942,0.06592744563705821,0.0,0.08807829022407532,0.11750268936157228,0.1602555513381958,0.55275559425354
7775,9335,0.13364695160053694,0.06570336006275845,0.0,0.0882088840007782,0.11742767691612244,0.1598372757434845,0.55275559425354
7776,9336,0.13355154501158484,0.06571546972674469,0.0,0.0880819410085678,0.1172691285610199,0.15970495343208313,0.55275559425354
7777,9337,0.13413548827205343,0.06581960226738405,0.0,0.08861207962036133,0.11800897121429445,0.16041633486747742,0.55275559425354
7778,9338,0.13376159888057157,0.06603439904179892,0.0,0.08797156810760498,0.11751580238342285,0.16023772954940796,0.55275559425354
7779,9339,0.13357993134182283,0.06575285278238824,0.0,0.08811414241790771,0.11727160215377808,0.1598052680492401,0.55275559425354
7780,9340,0.13320560033541085,0.0659229117332633,0.0,0.08760595321655272,0.11660975217819215,0.1592978835105896,0.55275559425354
7781,9341,0.13363418063956678,0.0657317098378868,0.0,0.08819171786308289,0.11736655235290527,0.1598556637763977,0.55275559425354
7782,9342,0.13307261365173545,0.06472220650671484,0.0,0.08841115236282349,0.11725467443466188,0.15909934043884275,0.55275559425354
7783,9343,0.13376459996242848,0.06566859444457254,0.0,0.08838523924350739,0.11747804284095764,0.1598750203847885,0.55275559425354
7784,9344,0.13275230736900875,0.06659411733486482,0.0,0.08704563975334167,0.11567315459251402,0.15789063274860382,0.55275559425354
7785,9345,0.136159478518971,0.06783469572212705,0.0,0.0890105664730072,0.11845836043357849,0.16315865516662598,0.55275559425354
7786,9346,0.1335976625208592,0.06573786652951769,0.0,0.08811409771442413,0.11727848649024963,0.15983374416828156,0.55275559425354
7787,9347,0.1339380046683013,0.06586296533527856,0.0,0.08838063478469849,0.11780405044555665,0.1602555513381958,0.55275559425354
7788,9348,0.13286147877087126,0.06561220496206185,0.0,0.08775405585765839,0.11657911539077759,0.1580373048782349,0.55275559425354
7789,9349,0.13413993916077907,0.0656552052798888,0.0,0.08867812156677246,0.117853045463562,0.1602555513381958,0.55275559425354
7790,9350,0.13275461940511413,0.0649820931184191,0.0,0.08791744709014893,0.11690688133239745,0.1586969494819641,0.55275559425354
7791,9351,0.13300251822054943,0.06594550581124257,0.0,0.08753275871276855,0.11626029014587402,0.15891647338867188,0.55275559425354
7792,9352,0.13303875289986392,0.06528365231646774,0.0,0.08839559555053711,0.1176072359085083,0.1586802899837494,0.55275559425354
7793,9353,0.1334437882736977,0.06594128897531178,0.0,0.08783841133117676,0.11690688133239745,0.15980297327041626,0.55275559425354
7794,9354,0.13452656232817803,0.06616360725171544,0.0,0.08857709169387817,0.11825060844421388,0.16135039925575256,0.55275559425354
7795,9355,0.13014628465426165,0.06500699887394819,0.0,0.0865713357925415,0.11446493864059448,0.15189369022846222,0.55275559425354
7796,9356,0.1331734942136557,0.06447863920941192,0.0,0.08838523924350739,0.11790940165519714,0.15993112325668335,0.5476659834384918
7797,9357,0.13350950701974815,0.06580129606750493,0.0,0.08797293901443483,0.11720716953277588,0.15980307757854462,0.55275559425354
7798,9358,0.13336106740578238,0.06678694920018191,0.0,0.08707290887832643,0.1164863109588623,0.15983301401138306,0.55275559425354
7799,9359,0.1318397079400532,0.06115978206343805,0.0,0.08800220489501953,0.11757287383079529,0.15869569778442383,0.4317965507507324
7800,9360,0.13456392648804655,0.06656750677666831,0.0,0.08800855278968811,0.11812916398048401,0.16151179373264313,0.55275559425354
7801,9361,0.13566244561152185,0.06641235307871327,0.0,0.08916860818862915,0.11929601430892944,0.16307765245437622,0.55275559425354
7802,9362,0.13549125086931105,0.06698437123480969,0.0,0.08849537372589111,0.11886316537857056,0.1635461151599884,0.55275559425354
7803,9363,0.13461543423587946,0.06632358304429573,0.0,0.0882803201675415,0.11827003955841064,0.16159343719482422,0.55275559425354
7804,9364,0.13763584265472453,0.06676224350296636,0.02575874328613281,0.09026575088500977,0.12140363454818726,0.1666315793991089,0.55275559425354
7805,9365,0.1359175549431829,0.06657843583261458,0.0,0.08949165046215057,0.11966243386268616,0.16305282711982727,0.55275559425354
7806,9366,0.13252909869428664,0.06423618890253724,0.0,0.08801290392875671,0.11750540137290957,0.15852545201778412,0.55275559425354
7807,9367,0.13523507372623525,0.06636869374563995,0.0,0.08899751305580139,0.118921160697937,0.16231442987918857,0.55275559425354
7808,9368,0.1339193401128293,0.06579074865043234,0.0,0.0881049633026123,0.1181631088256836,0.16028651595115662,0.55275559425354
7809,9369,0.1352632782880276,0.06632942684014125,0.0,0.08884960412979126,0.11908528208732605,0.1626984030008316,0.55275559425354
7810,9370,0.13511002711360065,0.0661079653601956,0.0,0.08899304270744324,0.11904293298721312,0.16202250123023987,0.55275559425354
7811,9371,0.13501560860203282,0.0661195592172518,0.0,0.08884871006011963,0.11893051862716675,0.1619718372821808,0.55275559425354
7812,9372,0.13560310714065082,0.06621544738856874,0.0,0.08939750492572784,0.11956524848937988,0.16275174915790558,0.55275559425354
7813,9373,0.13481357131289246,0.0667488810343402,0.0,0.08819568157196045,0.11814552545547485,0.16214096546173096,0.55275559425354
