,labels,lat,long
88,2,44.00062561035156,-121.23381042480469
89,-1,42.19001770019531,-122.56453704833984
90,0,45.60181427001953,-122.70079803466795
91,3,39.68571090698242,-121.84408569335938
92,3,38.54384994506836,-121.37828063964844
93,3,38.55448532104492,-121.49705505371094
94,3,38.818603515625,-121.27808380126952
95,3,38.68368911743164,-121.06472778320312
96,3,38.56220245361328,-121.20469665527344
97,3,39.11183166503906,-120.87796783447266
98,3,38.4085693359375,-122.02277374267578
99,3,38.76402282714844,-121.28750610351562
100,3,38.79107666015625,-121.23485565185548
101,3,38.79107666015625,-121.23485565185548
102,3,38.84021759033203,-120.82975769042969
103,3,38.666595458984375,-121.14163208007812
104,3,38.694908142089844,-121.27176666259766
105,3,38.915870666503906,-121.08028411865234
106,3,38.3988151550293,-122.86192321777344
107,3,38.503684997558594,-122.75405883789062
108,3,37.47439575195313,-120.87591552734376
109,3,37.71848678588867,-121.03235626220705
110,3,37.83026885986328,-121.20101928710938
111,3,37.42862319946289,-121.94339752197266
112,3,37.42862319946289,-121.94339752197266
113,3,37.38710403442383,-121.8974151611328
114,3,37.2950553894043,-121.89144134521484
115,3,37.344482421875,-121.88353729248048
116,3,37.344482421875,-121.88353729248048
117,3,37.344482421875,-121.88353729248048
118,3,37.04225540161133,-121.9300537109375
119,3,36.97052383422852,-121.98748779296876
120,3,37.03646087646485,-122.12174987792969
121,3,37.03646087646485,-122.12174987792969
122,3,37.03646087646485,-122.12174987792969
123,3,37.44363784790039,-121.8749542236328
124,3,37.16084671020508,-121.98396301269531
125,3,38.235008239746094,-122.55736541748048
126,3,37.94279861450195,-122.32292175292969
127,3,37.80877304077149,-122.2691650390625
128,3,37.80877304077149,-122.2691650390625
129,3,37.80877304077149,-122.2691650390625
130,3,37.50451278686523,-122.0329132080078
131,3,37.50136947631836,-121.95675659179688
132,3,37.555999755859375,-122.2676773071289
133,3,37.52360153198242,-122.34491729736328
134,3,37.80093383789063,-122.43836975097656
135,3,37.72036743164063,-122.44293975830078
136,3,37.791412353515625,-122.40213012695312
137,3,37.77315139770508,-122.41116333007812
138,3,37.35747909545898,-122.14443969726562
139,3,37.35747909545898,-122.14443969726562
140,3,37.20981979370117,-119.7498016357422
141,3,36.8244514465332,-119.6800308227539
142,3,37.02883529663086,-119.316650390625
143,4,35.60651016235352,-117.6834716796875
144,4,35.46534729003906,-120.68943786621094
145,4,35.192405700683594,-119.17586517333984
146,4,34.44918441772461,-119.80477905273438
147,4,33.808448791503906,-117.79174041748048
148,4,33.808448791503906,-117.79174041748048
149,4,33.669605255126946,-117.7360382080078
150,4,33.669605255126946,-117.7360382080078
151,4,33.68021011352539,-117.83335876464844
152,4,33.53523635864258,-117.10486602783205
153,4,33.53523635864258,-117.10486602783205
154,4,33.72968292236328,-117.03419494628906
155,4,33.971004486083984,-117.32518005371094
156,4,33.971004486083984,-117.32518005371094
157,4,34.17833709716797,-117.25145721435548
158,4,34.025684356689446,-117.28881072998048
159,4,32.806774139404304,-117.13494110107422
160,4,32.899593353271484,-117.20120239257812
161,4,32.899593353271484,-117.20120239257812
162,4,32.79467391967773,-117.07117462158205
163,4,32.688060760498054,-117.2037582397461
