,index,text_d_mkt_mean,text_d_mkt_std,text_d_mkt_min,text_d_mkt_p25,text_d_mkt_p50,text_d_mkt_p75,text_d_mkt_max
120,125,0.12297728231975011,0.03816955801177061,0.05268484354019165,0.09117138385772705,0.12142342329025269,0.14877849817276,0.19120854139328008
121,126,0.12765226231680976,0.03376923588604704,0.05268484354019165,0.10104435682296753,0.13006353378295898,0.14775478839874268,0.19120854139328008
122,127,0.1256083467427422,0.038099998743645155,0.05268484354019165,0.09581369161605836,0.1280842423439026,0.1480581760406494,0.2285154461860657
123,129,0.07282620668411255,,0.07282620668411255,0.07282620668411255,0.07282620668411255,0.07282620668411255,0.07282620668411255
124,130,0.12610405530685034,0.03206731882340982,0.05979222059249877,0.10470949113368988,0.1255679428577423,0.14146780967712402,0.244903028011322
125,131,0.14378000091720414,0.05310324605021211,0.05979222059249877,0.10671854019165039,0.13012343645095825,0.16536685824394226,0.29254627227783203
126,132,0.1406218517394293,0.052563392188336756,0.05979222059249877,0.10456031560897827,0.12753534317016602,0.16240578889846802,0.29254627227783203
127,133,0.14496557385313744,0.050622822445366825,0.05979222059249877,0.10674679279327393,0.13571375608444214,0.1716330647468567,0.29254627227783203
128,134,0.1585087087247279,0.08581588374964268,0.04966545104980469,0.10286462306976318,0.1316969394683838,0.1778787076473236,0.4315523505210877
129,135,0.15545521988699088,0.08518403697304373,0.04966545104980469,0.10073846578598022,0.1298435926437378,0.1736583709716797,0.4315523505210877
130,136,0.15144906520843507,0.08295057050854013,0.04966545104980469,0.0997587740421295,0.1253281831741333,0.16912364959716797,0.4315523505210877
131,137,0.15615089768358106,0.08283089474457496,0.04966545104980469,0.10080620646476746,0.12912392616271973,0.18353429436683658,0.4315523505210877
132,138,0.15005644628371315,0.08222232192922904,0.031528830528259284,0.09709322452545166,0.12430310249328612,0.17326337099075317,0.4315523505210877
133,139,0.1439821799808645,0.08016582731531158,0.031528830528259284,0.09404438734054564,0.11984384059906004,0.16240578889846802,0.4315523505210877
134,140,0.14356995350172538,0.07982016564449004,0.031528830528259284,0.09389621019363403,0.1194525957107544,0.16064098477363586,0.43170303106307983
