,labels,lat,long
60,4,34.23085403442383,-118.36585235595705
61,4,33.81825637817383,-116.46674346923828
62,25,27.901124954223643,-82.68223571777344
63,4,33.482940673828125,-117.22608184814452
64,21,35.12735748291016,-80.94684600830078
66,1,48.34877014160156,-122.14546966552734
67,-1,47.65235900878906,-117.5260009765625
68,-1,46.59667205810547,-120.53385162353516
69,1,47.10829162597656,-122.87062072753906
70,1,48.19819259643555,-122.6540756225586
71,1,48.50091171264648,-122.3456573486328
72,1,48.79648971557617,-122.44588470458984
73,1,48.21712112426758,-121.95353698730469
74,1,47.58562850952149,-122.29196166992188
75,1,47.58106231689453,-122.33815002441406
76,1,47.63867950439453,-122.3709487915039
77,1,47.66752624511719,-122.37754821777344
78,1,47.80970764160156,-122.2803955078125
79,-1,44.00062561035156,-121.23381042480469
80,-1,42.19001770019531,-122.56453704833984
81,0,45.60181427001953,-122.70079803466795
82,-1,39.68571090698242,-121.84408569335938
83,2,38.54384994506836,-121.37828063964844
84,2,38.55448532104492,-121.49705505371094
85,2,38.818603515625,-121.27808380126952
86,2,38.68368911743164,-121.06472778320312
87,2,39.11183166503906,-120.87796783447266
88,2,38.4085693359375,-122.02277374267578
89,2,38.76402282714844,-121.28750610351562
90,2,38.79107666015625,-121.23485565185548
91,2,38.84021759033203,-120.82975769042969
92,2,38.666595458984375,-121.14163208007812
93,2,38.694908142089844,-121.27176666259766
94,2,38.915870666503906,-121.08028411865234
95,2,38.3988151550293,-122.86192321777344
96,2,38.503684997558594,-122.75405883789062
97,2,37.47439575195313,-120.87591552734376
98,2,37.71848678588867,-121.03235626220705
99,2,37.83026885986328,-121.20101928710938
100,2,37.42862319946289,-121.94339752197266
101,2,37.38710403442383,-121.8974151611328
102,2,37.2950553894043,-121.89144134521484
103,2,37.344482421875,-121.88353729248048
104,2,37.04225540161133,-121.9300537109375
105,2,36.97052383422852,-121.98748779296876
106,2,37.03646087646485,-122.12174987792969
107,2,37.44363784790039,-121.8749542236328
108,2,37.16084671020508,-121.98396301269531
109,2,38.235008239746094,-122.55736541748048
110,2,37.94279861450195,-122.32292175292969
111,2,37.80877304077149,-122.2691650390625
112,2,37.50451278686523,-122.0329132080078
113,2,37.50136947631836,-121.95675659179688
114,2,37.555999755859375,-122.2676773071289
115,2,37.52360153198242,-122.34491729736328
116,2,37.80093383789063,-122.43836975097656
117,2,37.72036743164063,-122.44293975830078
118,2,37.791412353515625,-122.40213012695312
119,2,37.77315139770508,-122.41116333007812
